,State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,% Uninsured Adults,% Excessive Drinking,POPESTIMATE2022
660,Illinois,Lee,37.0,8.0,25.0,1.9485926830622329,10.0,13.0,68.0,78.3,60542.0,1.1473195284886841,18.0,108078.0
661,Illinois,Livingston,36.0,8.0,26.0,16.963926512002146,10.0,14.0,68.0,76.1,61569.0,10.272227437307228,18.0,14914.0
662,Illinois,Logan,36.0,8.1,24.0,6.467147246513827,9.0,13.0,67.0,76.8,58939.0,2.830300165445521,18.0,33848.0
663,Illinois,McDonough,36.0,7.4,25.0,9.020016328369133,10.0,14.0,79.0,77.8,53024.0,4.518453872357197,17.0,35521.0
664,Illinois,McHenry,35.0,8.7,21.0,71.74440940886521,8.0,12.0,94.0,80.3,92522.0,52.06770323656264,18.0,27591.0
665,Illinois,McLean,36.0,8.0,22.0,55.43352816350843,8.0,13.0,81.0,79.4,71309.0,24.805480064033354,17.0,26861.0
666,Illinois,Macon,37.0,7.4,26.0,3.01205785460646,10.0,14.0,83.0,76.3,48245.0,1.4203825538016404,17.0,311747.0
667,Illinois,Macoupin,38.0,8.1,26.0,1.1744701737164094,10.0,14.0,69.0,76.7,57755.0,1.137074108483648,18.0,171141.0
668,Illinois,Madison,40.0,7.4,23.0,34.14364967531508,9.0,13.0,87.0,76.3,65886.0,11.74679502970941,18.0,101483.0
669,Illinois,Marion,36.0,7.0,26.0,9.099333257995253,11.0,15.0,66.0,73.6,55292.0,4.16318228048367,17.0,44245.0
670,Illinois,Marshall,35.0,8.3,24.0,0.20806172876936604,10.0,14.0,45.0,77.2,64132.0,0.1932813873813783,18.0,263864.0
671,Illinois,Mason,37.0,6.9,26.0,5.260876632172075,10.0,14.0,59.0,75.1,58828.0,1.804193530909682,18.0,36914.0
672,Illinois,Massac,38.0,7.6,27.0,4.48706970371639,11.0,15.0,58.0,74.8,52680.0,6.019866415482103,17.0,11678.0
673,Illinois,Menard,36.0,8.9,22.0,2.1336680263570758,9.0,13.0,71.0,79.9,75687.0,3.631942265453404,19.0,12748.0
674,Illinois,Mercer,37.0,8.1,25.0,8.880253310305124,9.0,14.0,27.0,78.1,64731.0,4.512089810017271,19.0,13896.0
675,Illinois,Monroe,35.0,9.2,19.0,13.439485190990844,7.0,12.0,86.0,80.7,93054.0,8.472898275719826,19.0,12121.0
