State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Arkansas,Dallas,40,5.3,34,2174,13,17,,73.8,42442,417,15,,,,Arkansas,Cross,16601,,TRUE
Arkansas,Desha,45,5.6,38,2161,16,19,41,72.2,39042,784,13,,,,Arkansas,Dallas,6191,,TRUE
Arkansas,Drew,43,6.7,35,1703,13,17,66,74,46572,1124,15,,,,Arkansas,Desha,10771,,TRUE
Arkansas,Faulkner,36,6.7,27,13493,11,16,64,76.3,57573,8175,17,,,,Arkansas,Drew,16911,,TRUE
Arkansas,Franklin,36,6.8,33,342,14,19,67,74,47834,1261,17,,,,Arkansas,Faulkner,127665,,TRUE
Arkansas,Fulton,38,6.6,32,727,15,19,44,75.3,41557,720,17,,,,Arkansas,Franklin,17271,,TRUE
Arkansas,Garland,31,6.2,28,10230,12,17,72,74.3,48053,6921,16,,,,Arkansas,Fulton,12382,,TRUE
Arkansas,Grant,37,6.7,27,2225,11,17,35,76.2,67088,1001,18,,,,Arkansas,Garland,100089,,TRUE
Arkansas,Greene,40,6.7,29,2799,13,18,67,75.1,53920,2685,17,,,,Arkansas,Grant,18160,,TRUE
Arkansas,Hempstead,42,6,35,3642,14,18,60,75.6,41281,1660,16,,,,Arkansas,Greene,46448,,TRUE
Arkansas,Hot Spring,36,6.5,31,3692,12,17,21,74,51662,1945,18,,,,Arkansas,Hempstead,19453,,TRUE
Arkansas,Howard,42,6.1,34,2223,14,18,9,73.5,42733,979,16,,,,Arkansas,Hot Spring,33203,,TRUE
Arkansas,Independence,37,7.1,29,2234,13,18,49,75.9,48957,2580,17,,,,Arkansas,Howard,12557,,TRUE
Arkansas,Izard,38,7.1,30,44,14,18,55,74.5,40788,680,17,,,,Arkansas,Independence,37945,,TRUE
Arkansas,Jackson,39,5.4,34,2568,15,19,46,72.5,37815,888,16,,,,Arkansas,Izard,14048,,TRUE
Arkansas,Jefferson,44,6.4,34,8213,13,17,63,72.4,46100,3309,14,,,,Arkansas,Jackson,16624,,TRUE
Arkansas,Johnson,40,6.1,33,3404,14,18,43,75.5,43003,2337,16,,,,Arkansas,Jefferson,64246,,TRUE
Arkansas,Lafayette,41,5.9,36,868,15,18,11,74.2,38777,497,15,,,,Arkansas,Johnson,26001,,TRUE
Arkansas,Lawrence,38,5.7,30,2928,13,18,35,73,44661,994,17,,,,Arkansas,Lafayette,6101,,TRUE
Arkansas,Lee,45,4.8,39,2115,16,18,52,71.6,29714,345,15,,,,Arkansas,Lawrence,16205,,TRUE
Arkansas,Lincoln,40,6,35,2474,14,17,38,73.9,45435,543,17,,,,Arkansas,Lee,8364,,TRUE
Arkansas,Little River,37,7.8,30,130,13,17,51,73.1,46619,696,17,,,,Arkansas,Lincoln,12916,,TRUE
